Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
Caeleb Dressel,United States,USA,Summer,2020,Tokyo,Swimming,50M Freestyle ,Gold,Men
Florent Manaudou,France,FRA,Summer,2020,Tokyo,Swimming,50M Freestyle ,Silver,Men
Bruno Fratus,Brazil,BRA,Summer,2020,Tokyo,Swimming,50M Freestyle ,Bronze,Men
Caeleb Dressel,United States,USA,Summer,2020,Tokyo,Swimming,100M Freestyle ,Gold,Men
Kyle Chalmers,Australia,AUS,Summer,2020,Tokyo,Swimming,100M Freestyle ,Silver,Men
Kliment Kolesnikov,Russia,ROC,Summer,2020,Tokyo,Swimming,100M Freestyle ,Bronze,Men
Tom Dean,Uk,GBR,Summer,2020,Tokyo,Swimming,200M Freestyle ,Gold,Men
Duncan Scott,Uk,GBR,Summer,2020,Tokyo,Swimming,200M Freestyle ,Silver,Men
Fernando Scheffer,Brazil,BRA,Summer,2020,Tokyo,Swimming,200M Freestyle ,Bronze,Men
Ahmed Hafnaoui,Tunisia,TUN,Summer,2020,Tokyo,Swimming,400M Freestyle ,Gold,Men
Jack Mcloughlin,Australia,AUS,Summer,2020,Tokyo,Swimming,400M Freestyle ,Silver,Men
Kieran Smith,United States,USA,Summer,2020,Tokyo,Swimming,400M Freestyle ,Bronze,Men
Bobby Finke,United States,USA,Summer,2020,Tokyo,Swimming,800M Freestyle ,Gold,Men
Gregorio Paltrinieri,Italy,ITA,Summer,2020,Tokyo,Swimming,800M Freestyle ,Silver,Men
Mykhailo Romanchuk,Ukraine,UKR,Summer,2020,Tokyo,Swimming,800M Freestyle ,Bronze,Men
Bobby Finke,United States,USA,Summer,2020,Tokyo,Swimming,1500M Freestyle ,Gold,Men
Mykhailo Romanchuk,Ukraine,UKR,Summer,2020,Tokyo,Swimming,1500M Freestyle ,Silver,Men
Florian Wellbrock,Germany,GER,Summer,2020,Tokyo,Swimming,1500M Freestyle ,Bronze,Men
Yevgeny Rylov,Russia,ROC,Summer,2020,Tokyo,Swimming,100M Backstroke ,Gold,Men
Kliment Kolesnikov,Russia,ROC,Summer,2020,Tokyo,Swimming,100M Backstroke ,Silver,Men
Ryan Murphy,United States,USA,Summer,2020,Tokyo,Swimming,100M Backstroke ,Bronze,Men
Yevgeny Rylov,Russia,ROC,Summer,2020,Tokyo,Swimming,200M Backstroke ,Gold,Men
Ryan Murphy,United States,USA,Summer,2020,Tokyo,Swimming,200M Backstroke ,Silver,Men
Luke Greenbank,Uk,GBR,Summer,2020,Tokyo,Swimming,200M Backstroke ,Bronze,Men
Adam Peaty,Uk,GBR,Summer,2020,Tokyo,Swimming,100M Breaststroke ,Gold,Men
Arno Kamminga,Netherlands,NED,Summer,2020,Tokyo,Swimming,100M Breaststroke ,Silver,Men
Nicolò Martinenghi,Italy,ITA,Summer,2020,Tokyo,Swimming,100M Breaststroke ,Bronze,Men
Zac Stubblety-Cook,Australia,AUS,Summer,2020,Tokyo,Swimming,200M Breaststroke ,Gold,Men
Arno Kamminga,Netherlands,NED,Summer,2020,Tokyo,Swimming,200M Breaststroke ,Silver,Men
Matti Mattsson,Finland,FIN,Summer,2020,Tokyo,Swimming,200M Breaststroke ,Bronze,Men
Caeleb Dressel,United States,USA,Summer,2020,Tokyo,Swimming,100M Butterfly ,Gold,Men
Kristóf Milák,Hungary,HUN,Summer,2020,Tokyo,Swimming,100M Butterfly ,Silver,Men
Noè Ponti,Switzerland,SUI,Summer,2020,Tokyo,Swimming,100M Butterfly ,Bronze,Men
Kristóf Milák,Hungary,HUN,Summer,2020,Tokyo,Swimming,200M Butterfly ,Gold,Men
Tomoru Honda,Japan,JPN,Summer,2020,Tokyo,Swimming,200M Butterfly ,Silver,Men
Federico Burdisso,Italy,ITA,Summer,2020,Tokyo,Swimming,200M Butterfly ,Bronze,Men
Wang Shun,China,CHN,Summer,2020,Tokyo,Swimming,200M Individual Medley ,Gold,Men
Duncan Scott,Uk,GBR,Summer,2020,Tokyo,Swimming,200M Individual Medley ,Silver,Men
Jérémy Desplanches,Switzerland,SUI,Summer,2020,Tokyo,Swimming,200M Individual Medley ,Bronze,Men
Chase Kalisz,United States,USA,Summer,2020,Tokyo,Swimming,400M Individual Medley ,Gold,Men
Jay Litherland,United States,USA,Summer,2020,Tokyo,Swimming,400M Individual Medley ,Silver,Men
Brendon Smith,Australia,AUS,Summer,2020,Tokyo,Swimming,400M Individual Medley ,Bronze,Men
Emma Mckeon,Australia,AUS,Summer,2020,Tokyo,Swimming,50M Freestyle ,Gold,Women
Sarah Sjöström,Sweden,SWE,Summer,2020,Tokyo,Swimming,50M Freestyle ,Silver,Women
Pernille Blume,Denmark,DEN,Summer,2020,Tokyo,Swimming,50M Freestyle ,Bronze,Women
Emma Mckeon,Australia,AUS,Summer,2020,Tokyo,Swimming,100M Freestyle ,Gold,Women
Siobhán Haughey,Hong Kong,HKG,Summer,2020,Tokyo,Swimming,100M Freestyle ,Silver,Women
Cate Campbell,Australia,AUS,Summer,2020,Tokyo,Swimming,100M Freestyle ,Bronze,Women
Ariarne Titmus,Australia,AUS,Summer,2020,Tokyo,Swimming,200M Freestyle ,Gold,Women
Siobhán Haughey,Hong Kong,HKG,Summer,2020,Tokyo,Swimming,200M Freestyle ,Silver,Women
Penny Oleksiak,Canada,CAN,Summer,2020,Tokyo,Swimming,200M Freestyle ,Bronze,Women
Ariarne Titmus,Australia,AUS,Summer,2020,Tokyo,Swimming,400M Freestyle ,Gold,Women
Katie Ledecky,United States,USA,Summer,2020,Tokyo,Swimming,400M Freestyle ,Silver,Women
